date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:42	153684/153684	---MCZ	200	added ('OK')	text/css	etag:W/%2267cfd5a0-25854%22	https://s.dlssyht.cn/css/VNew/inner_frame.min.css?0319	D:/Test/Test/s.dlssyht.cn/css/VNew/inner_frame.minfd47.css	(from http://www.sxxhdjn.com/)
12:57:43	31210/31210	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Apr%202025%2004:57:42%20GMT	http://www.sxxhdjn.com/self_define/TJStyle.php?user_id=1649571&all_ch_id=1&token_id=6&random=1744174645	D:/Test/Test/www.sxxhdjn.com/self_define/TJStyle9459.css	(from http://www.sxxhdjn.com/)
12:57:44	28564/28564	---MCZ	200	added ('OK')	text/css	etag:W/%22633516de-6f94%22	https://s.dlssyht.cn/templates/others39/css/webskin.css?0319	D:/Test/Test/s.dlssyht.cn/templates/others39/css/webskinfd47.css	(from http://www.sxxhdjn.com/)
12:57:45	3667/3667	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261bafa69-e53%22	https://s.dlssyht.cn/plugins/public/js/base64.min.js	D:/Test/Test/s.dlssyht.cn/plugins/public/js/base64.min.js	(from http://www.sxxhdjn.com/)
12:57:45	310655/310655	---MCZ	200	added ('OK')	text/css	etag:W/%22677f3617-4bd7f%22	https://s.dlssyht.cn/css/VNew/web_style/base_module_style.min.css?0319	D:/Test/Test/s.dlssyht.cn/css/VNew/web_style/base_module_style.minfd47.css	(from http://www.sxxhdjn.com/)
12:57:45	3398/3398	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261bafa69-d46%22	https://s.dlssyht.cn/plugins/public/js/json2.js	D:/Test/Test/s.dlssyht.cn/plugins/public/js/json2.js	(from http://www.sxxhdjn.com/)
12:57:47	18681/18681	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266aa094a-48f9%22	https://s.dlssyht.cn/js/posabsolute-jQuery-Validation-Engine-2c29415/js/languages/jquery.validationEngine-zh_CN.js?0319	D:/Test/Test/s.dlssyht.cn/js/posabsolute-jQuery-Validation-Engine-2c29415/js/languages/jquery.validationEngine-zh_CNfd47.js	(from http://www.sxxhdjn.com/)
12:57:48	20635/20635	---M--	200	added ('OK')	image/png	etag:%2203AB3097879274371EBD8609E1372C48%22	http://aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/2258/4515899_1524536212.png?x-oss-process=image/resize,m_fixed,w_135,h_120,limit_0	D:/Test/Test/aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/2258/4515899_1524536212f3ec.png	(from http://www.sxxhdjn.com/)
12:57:49	165855/165855	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2265950b1f-287df%22	https://s.dlssyht.cn/plugins/public/js/chplayer/chplayer.js?0319	D:/Test/Test/s.dlssyht.cn/plugins/public/js/chplayer/chplayerfd47.js	(from http://www.sxxhdjn.com/)
12:57:49	4838/4838	---MCZ	200	added ('OK')	text/css	etag:W/%2261bafa68-12e6%22	https://s.dlssyht.cn/plugins/public/js/slidingVerification/sliding_verification_style.css?0319	D:/Test/Test/s.dlssyht.cn/plugins/public/js/slidingVerification/sliding_verification_stylefd47.css	(from http://www.sxxhdjn.com/)
12:57:49	603445/603445	---MCZ	200	added ('OK')	application/javascript	etag:W/%22626598d4-93535%22	http://lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/three.js/r128/three.min.js	D:/Test/Test/lf3-cdn-tos.bytecdntp.com/cdn/expire-1-M/three.js/r128/three.min.js	(from http://www.sxxhdjn.com/)
12:57:49	17759/17759	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2263e60e2a-455f%22	https://s.dlssyht.cn/plugins/public/js/slidingVerification/sliding_tn_code.js?0319	D:/Test/Test/s.dlssyht.cn/plugins/public/js/slidingVerification/sliding_tn_codefd47.js	(from http://www.sxxhdjn.com/)
12:57:49	3887/3887	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261bafa44-f2f%22	https://s.dlssyht.cn/include/shoucang.js?0319	D:/Test/Test/s.dlssyht.cn/include/shoucangfd47.js	(from http://www.sxxhdjn.com/)
12:57:50	65257/65257	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2004:57:50%20GMT	http://www.sxxhdjn.com/dom/denglu.php?username=xinhuidejinnuo	D:/Test/Test/www.sxxhdjn.com/dom/denglu78e3.html	(from http://www.sxxhdjn.com/)
12:57:51	77203/77203	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2004:57:51%20GMT	http://www.sxxhdjn.com/dom/zhuce.php?username=xinhuidejinnuo	D:/Test/Test/www.sxxhdjn.com/dom/zhuce78e3.html	(from http://www.sxxhdjn.com/)
